MSOA11CD,residents_all_2011,migrants_2011,migrants_2011_pct
E02001091,8157,703,0.086183646
E02001092,8506,701,0.082412415
E02001093,9207,887,0.096339742
E02001094,9001,757,0.084101766
E02001095,8303,655,0.078887149
E02001096,7395,541,0.073157539
E02001097,8054,606,0.075242116
E02006902,6061,1748,0.288401254
E02006912,8827,3687,0.417695706
E02006913,6679,1208,0.180865399
E02006914,6935,3313,0.477721702
E02006915,8720,1291,0.148050459
E02006916,5749,1454,0.25291355
E02006917,5063,1766,0.348805056
E02001098,6063,338,0.05574798
E02001099,6041,503,0.08326436
E02001100,6115,351,0.057399836
E02001101,5976,337,0.056392236
E02001102,6114,398,0.0650965
E02001103,5541,376,0.067857787
E02001104,6939,406,0.058509872
E02001105,5997,388,0.064699016
E02001106,6043,446,0.073804402
E02001107,6150,382,0.062113821
E02001108,5082,438,0.086186541
E02001109,7314,561,0.076702215
E02001110,6244,469,0.075112108
E02001111,6679,594,0.088935469
E02001112,5938,302,0.050858875
E02001113,9536,436,0.045721477
E02001114,8150,665,0.081595092
E02001115,5956,488,0.081934184
E02001116,6462,542,0.083874961
E02001117,5906,462,0.078225533
E02001118,6259,452,0.072216009
E02001119,10850,424,0.039078341
E02001121,6519,483,0.074091118
E02001123,6449,595,0.092262366
E02001124,5739,438,0.076319916
E02001125,8038,617,0.076760388
E02001126,7465,530,0.070997991
E02001127,7080,493,0.069632768
E02001128,7460,586,0.078552279
E02001129,5801,465,0.080158593
E02001130,5778,299,0.05174801
E02001131,5304,230,0.043363499
E02006860,13909,679,0.048817313
E02001132,6463,508,0.078601269
E02001133,6175,262,0.04242915
E02001134,6271,423,0.067453357
E02001135,7607,661,0.086893651
E02001136,9189,797,0.086734139
E02001137,6198,430,0.069377218
E02001138,8945,532,0.059474567
E02001139,9257,462,0.049908178
E02001140,7564,681,0.090031729
E02001141,12440,1226,0.098553055
E02001142,5925,370,0.062447257
E02001143,10636,845,0.079447161
E02001144,6135,462,0.075305623
E02001145,7109,394,0.055422704
E02001146,9132,608,0.066579063
E02001147,9047,811,0.089642976
E02001148,10016,680,0.067891374
E02001149,9683,920,0.095011876
E02001150,8490,497,0.058539458
E02001151,9414,668,0.070958147
E02001152,9098,705,0.077489558
E02001153,9998,704,0.070414083
E02001154,10226,674,0.065910424
E02001155,6965,608,0.087293611
E02001156,9716,485,0.049917662
E02001157,7247,643,0.08872637
E02001158,5934,461,0.0776879
E02001159,5713,509,0.089095046
E02001160,6208,437,0.070393041
E02001161,5848,432,0.073871409
E02001162,5808,435,0.074896694
E02001163,9310,682,0.073254565
E02001164,7114,1012,0.142254709
E02001165,6147,366,0.05954124
E02001166,6997,551,0.078748035
E02001167,6354,720,0.113314448
E02001168,9406,700,0.074420583
E02001169,10546,524,0.049687085
E02001170,9692,612,0.063144862
E02001171,5594,290,0.051841258
E02001172,11945,1626,0.136123901
E02001173,8362,1556,0.186079885
E02001174,5640,605,0.107269504
E02001175,6938,500,0.072066878
E02001176,10930,1000,0.091491308
E02001177,11657,1378,0.118212233
E02001178,10658,2861,0.268436855
E02001179,5799,753,0.129849974
E02001180,5878,960,0.163320857
E02001181,5690,482,0.084710018
E02001182,6003,548,0.091287689
E02001183,6044,623,0.103077432
E02001184,10404,2418,0.232410611
E02001185,10104,492,0.048693587
E02001186,9963,586,0.058817625
E02001187,7188,371,0.051613801
E02001188,7941,646,0.081349956
E02001189,8382,513,0.061202577
E02001190,6686,398,0.059527371
E02001191,5841,315,0.053929122
E02001192,6446,615,0.095408005
E02001193,6099,520,0.085259879
E02001194,5886,447,0.075942915
